filename	weight
Y--12UOziMF0.wav	0.001143
Y--24LG2mr-Y.wav	0.0004023
Y--330hg-Ocw.wav	0.0004606
Y--5OkAjCI7g.wav	0.001011
Y--7UmfOkRbM.wav	0.001546
Y--9oYufMS_k.wav	0.001011
Y--BIwg9KRxI.wav	0.002817
Y--Bu2xe4OSo.wav	0.002336
Y--CHY2qO5zc.wav	0.002028
Y--EnKcYsPas.wav	0.001695
Y--GY4nqPqOI.wav	0.002398
Y--HXYSM3ydo.wav	0.0008873
Y--I2373YpgM.wav	0.001745
Y--IVng5n_Mw.wav	0.002227
Y--K53tRgAOg.wav	0.002387
Y--KCIeTv6PM.wav	0.0005679
Y--KdMg39p4k.wav	0.0008157
Y--L22BmDI6E.wav	0.0007911
Y--N8Xc-3C3k.wav	0.0003073
Y--N8lbFywRg.wav	0.001727
Y--OMDPXfO6o.wav	0.001255
Y--OWy19KnMI.wav	0.003571
Y--PJHxphWEs.wav	0.0003195
Y--PMnfMhn1A.wav	0.002169
Y--Q8wkZvDZE.wav	0.004082
Y--RQX1QDoOI.wav	0.0001849
Y--RV407O3uc.wav	0.002463
Y--V61qGmakk.wav	0.001318
Y--WDcV2eTXE.wav	3.689e-05
Y--WL5SeipJ0.wav	0.004098
Y--XkkKYR6Jw.wav	0.0002321
Y--ZHUMfueO0.wav	0.0004023
Y--ZXA7WY_HM.wav	0.0001603
Y--aaILOrkII.wav	0.002959
Y--ajzZwHQn8.wav	0.002571
Y--dCRcLsSGw.wav	0.001988
Y--dTDuvfHFQ.wav	0.0002986
Y--dr8rXrv8k.wav	0.001842
Y--ekDLDTUXA.wav	0.0002813
Y--hq8wmLHHQ.wav	0.002227
Y--iSerV5DbY.wav	0.002907
Y--szkzAaYBA.wav	0.001387
Y--v1WjOJv-w.wav	0.003086
Y--v7FsvvYng.wav	0.001684
Y--zgVsqtUgE.wav	0.00161
Y-01YByaybkc.wav	0.0001443
Y-03c0AOsM2Y.wav	0.0001443
Y-03pwk56EKM.wav	0.0002813
Y-07O11QVLxo.wav	0.001733
Y-08S28hcWD4.wav	5.33e-05
Y-09rxiqNNEs.wav	0.00135
Y-09vejQ0eGM.wav	3.689e-05
Y-0A1_JR5f34.wav	0.0005767
Y-0CxF1A4yiM.wav	0.003247
Y-0EIYbSmy48.wav	0.002114
Y-0Hf2I8AFI8.wav	0.001828
Y-0Hxe_afHfg.wav	0.0001443
Y-0M5z0r4Q8M.wav	0.001852
Y-0MnD7jBvkE.wav	0.001312
Y-0O3e95y4gE.wav	0.004292
Y-0OkG0fLLkc.wav	0.003311
Y-0RfhvckZxk.wav	6.03e-05
Y-0TTFAArJ9k.wav	0.001745
Y-0Td_g_HVEQ.wav	0.000947
Y-0XLMUK3V-8.wav	0.003559
Y-0ZYW2yXKp8.wav	0.001502
Y-0ap3dVC-LM.wav	6.03e-05
Y-0atYHAfGHA.wav	0.007092
Y-0ayTKLUeCE.wav	3.689e-05
Y-0dr4eWtWtQ.wav	0.0002321
Y-0k1YFyaSkU.wav	0.0002321
Y-0rk3mZ7EbU.wav	0.001695
Y-0term1xZJg.wav	0.005747
Y-10fWp7Pqs4.wav	0.00125
Y-12HRVnRQvQ.wav	3.689e-05
Y-12Z-4hvmyU.wav	0.0008873
Y-146FAIZx8I.wav	0.0007189
Y-16oaHQ0PZU.wav	3.689e-05
Y-18-DJ76IaQ.wav	0.0007241
Y-1CNw3wis34.wav	0.002571
Y-1DIETxHTIU.wav	0.0002986
Y-1KAjPp2-Vc.wav	0.001825
Y-1MpcvB9PAI.wav	0.001214
Y-1OKIOu9dhs.wav	0.0001329
Y-1QUpHlvDM4.wav	0.001835
Y-1SxJKnqR4s.wav	0.0002307
Y-1YwpJxxfNU.wav	5.33e-05
Y-1ZriUdBfBw.wav	0.002088
Y-1cI0WuEmFI.wav	6.991e-05
Y-1cYBm9ajNY.wav	0.004219
Y-1gZLnvKrBw.wav	0.001733
Y-1gyUUFu5aA.wav	0.0007843
Y-1hDiUHXeZY.wav	0.002571
Y-1hPNpfM9p4.wav	0.003497
Y-1iKLvsRBbE.wav	0.0008078
Y-1nEEX8uOD8.wav	0.003086
Y-1oRfe0FQI8.wav	0.004545
Y-1oUWvnBBhc.wav	0.001715
Y-1ryzsnvTro.wav	0.0002307
Y-1tZU7v0f0U.wav	0.0006964
Y-1vi_Jg9stk.wav	0.0005058
Y-1xQ5m9yCK8.wav	0.001479
Y-1xXADXCgvM.wav	0.0006964
Y-1y-5KPquQ8.wav	0.002299
Y-1yEeL_guEY.wav	0.00155
Y-1yGQXQC5gE.wav	0.005128
Y-1z-Vkk3Lao.wav	0.001563
Y-2--Xzix2Vk.wav	0.002208
Y-20PowXzC6g.wav	6.03e-05
Y-21Zte42ZYc.wav	0.0009625
Y-24NCAbGKic.wav	0.00303
Y-25VhKUuMXg.wav	0.003401
Y-26vNAAFWH0.wav	5.05e-05
Y-27-xeDJdWk.wav	0.0004114
Y-275_wTLm-4.wav	0.002387
Y-28ecYlWqdQ.wav	3.689e-05
Y-2Bev4vU8Uw.wav	5.33e-05
Y-2BgBBrHJkA.wav	0.0004023
Y-2CFBsjxxzw.wav	0.001087
Y-2GC25ao1Og.wav	0.0004606
Y-2Krnsj-edU.wav	2.847e-05
Y-2NNI-DKgkI.wav	0.002841
Y-2OpMzScbDU.wav	3.805e-05
Y-2SkvmLIFXw.wav	0.001387
Y-2TDIQvBy6s.wav	0.004348
Y-2UCHi0_OGI.wav	0.0002321
Y-2Unf-WyyyA.wav	0.003344
Y-2WBGJ3rWX8.wav	0.002227
Y-2X03mO3T_U.wav	0.003279
Y-2XEfT3k5yg.wav	0.002208
Y-2YC8Fi7B7I.wav	0.0007189
Y-2YiD2M3BZY.wav	5.33e-05
Y-2a_E4vBvXY.wav	0.001502
Y-2f4hOfiX3w.wav	0.001339
Y-2fwxUR-qxQ.wav	0.003401
Y-2gHz9t97C8.wav	0.0002321
Y-2haRtULCeI.wav	0.003367
Y-2kErLFAk5k.wav	0.002151
Y-2kJ_gyPt_M.wav	0.001214
Y-2ksTQGTlLA.wav	0.001339
Y-2kt5gv42qI.wav	0.0002986
Y-2mQXzsDhbY.wav	0.001852
Y-2ni2KI5S5A.wav	0.0006964
Y-2odIlonhas.wav	0.0004023
Y-2pvUq71MCQ.wav	0.0003073
Y-2qFJYKnruc.wav	0.001087
Y-2qRkifkT08.wav	0.002833
Y-2qmvG6QMnQ.wav	0.002463
Y-2skXyj7S80.wav	0.002128
Y-2uFC-ybxV8.wav	0.002252
Y-2ymZrww3XA.wav	0.0005058
Y-3-uw-w5Mi0.wav	0.002041
Y-319SGjCMGA.wav	6.03e-05
Y-35D3u9ce6w.wav	0.003367
Y-3781iiKiaY.wav	0.0002307
Y-37uhdQ80h0.wav	0.0003573
Y-37xjT4JRUA.wav	0.0003573
Y-3BvblMRuEI.wav	0.0001299
Y-3D6Sdidgn0.wav	6.991e-05
Y-3DiYZ-vEjQ.wav	0.001675
Y-3Hi-atFiAw.wav	0.0004023
Y-3I4GAaRKjg.wav	0.002591
Y-3IX-CClQr8.wav	0.0001329
Y-3MV6T3u9Ig.wav	0.006536
Y-3NQkBLiY0k.wav	0.0002321
Y-3QZXFKWwEw.wav	0.0004312
Y-3Qyf1jECX0.wav	0.002439
Y-3Tlimy9kJI.wav	0.00266
Y-3UBJIEYKVg.wav	0.001695
Y-3YeIAVRaOs.wav	0.001377
Y-3Z3twSoRcQ.wav	0.001339
Y-3ZZ__t-XCk.wav	0.0004023
Y-3bdRpp1ntw.wav	0.002463
Y-3gY7hSxtzY.wav	0.0001329
Y-3gdCByYq7Q.wav	0.00155
Y-3j5Jffc67Q.wav	0.005556
Y-3k1Xl7eriw.wav	0.002445
Y-3kFIz3JnSU.wav	0.002457
Y-3qVzrEZ8l0.wav	0.003311
Y-3qrk3DOzPY.wav	0.0001443
Y-3sF3WdmxMo.wav	0.005128
Y-3vG3iqvj2I.wav	0.002128
Y-3xDCIpcY1o.wav	0.001255
Y-3xH0mRoAx0.wav	0.0001849
Y-45YCn58LSk.wav	0.00216
Y-46xqouqMxA.wav	0.002208
Y-490yf0Fsj8.wav	0.003311
Y-4A2_GCaKGg.wav	0.001733
Y-4BWpdVUMWc.wav	5.33e-05
Y-4CoiqosI38.wav	0.001214
Y-4E4LnOdK7s.wav	0.003401
Y-4IAn6zCaLo.wav	0.0003219
Y-4KDusm_mD0.wav	0.0006752
Y-4Mu0_kn2n0.wav	3.805e-05
Y-4ObGigN498.wav	0.004651
Y-4RWqM0UCCY.wav	0.002545
Y-4WaJcLICmQ.wav	0.0002321
Y-4YIeHfuJrU.wav	0.0004606
Y-4b5TolL3xo.wav	0.001214
Y-4bMxEoHn9c.wav	6.991e-05
Y-4c4jzE5y_c.wav	0.004878
Y-4co5oSfmIs.wav	0.001387
Y-4fmWFBhQYw.wav	0.003984
Y-4gbaSXwssU.wav	0.0008157
Y-4gemZLtErM.wav	0.002336
Y-4jYmwwf6h4.wav	0.002398
Y-4kV3ulsTJc.wav	0.000203
Y-4lB2dt4WDE.wav	0.002577
Y-4nwx0OeWqg.wav	0.001236
Y-4qrqZ35A8A.wav	0.0003488
Y-4tF5fmNT6s.wav	0.0004023
Y-4tFyjKAH7o.wav	0.0007911
Y-4xJv59_zcA.wav	0.005682
Y-4zCSw967zI.wav	0.0006964
Y-5-vQemteOc.wav	0.0004606
